"id","nama_satker","kode_satker","id_satker","kode_provinsi","kode_wilayah","id_regencies","lat","long"
144,BNNK KAB GIANYAR,BNN200,200,PROV1,D,51,-8.544185,"115.3255"
147,BNNK KAB KLUNGKUNG,BNN203,203,PROV1,D,51,-8.5389222,"115.4045111"
148,BNNK KARANGASEM,BNN201,201,PROV1,D,51,-6.3996057,"108.0503042"
143,BNNK KOTA DENPASAR,BNN199,199,PROV1,D,51,-8.65629,"115.222099"
146,BNNK KAB BULELENG,BNN202,202,PROV1,D,51,-8.113831,"115.126999"
145,BNNK KAB BANDUNG,BNN198,198,PROV1,D,51,-8.5819296,"115.1770586"
142,BNNP BALI,BNN197,197,PROV1,D,51,-8.4095178,"115.188916"
152,BNNK KAB SUMBAWA BARAT,BNN206,206,PROV22,D,52,-8.9292907,"116.8910342"
149,BNNP NUSA TENGGARA BARAT,BNN204,204,PROV22,D,52,-8.6529334,"117.3616476"
153,BNNK KAB SUMBAWA,BNN208,208,PROV22,D,52,-8.6529334,"117.3616476"
151,BNNK KOTA MATARAM,BNN205,205,PROV22,D,52,-8.5833333,"116.1166667"
150,BNNK KAB BIMA,BNN207,207,PROV22,D,52,-8.460566,"118.727402"
155,BNNK KAB BELU,BNN212,212,PROV23,D,53,-9.4125796,"124.9506625"
156,BNNK KOTA KUPANG,BNN210,210,PROV23,D,53,-10.1833333,"123.5833333"
157,BNNK KAB ROTE NDAO,BNN211,211,PROV23,D,53,-10.7386421,"123.1239049"
154,BNNP NUSA TENGGARA TIMUR,BNN209,209,PROV23,D,53,-8.6573819,"121.0793705"
159,BNNK KAB BENGKAYANG,BNN152,152,PROV12,D,61,"0.8209729","109.477699"
158,BNNP KALIMANTAN BARAT,BNN147,147,PROV12,D,61,-0.2787808,"111.4752851"
160,BNNK KAB SINTANG,BNN153,153,PROV12,D,61,"0.080238","111.495499"
161,BNNK KOTA PONTIANAK,BNN150,150,PROV12,D,61,-0.022523,"109.330307"
162,BNNK KOTA SENGKAWANG,BNN151,151,PROV12,D,61,"0.908795","108.984596"
163,BNNK KAB SANGGAU,BNN149,149,PROV12,D,61,"0.119275","110.597298"
164,BNNK KAB MEMPAWAH,BNN148,148,PROV12,D,61,"0.3897","109.1404"
165,BNNK KAB KUBU RAYA,BNN154,154,PROV12,D,61,-0.3533938,"109.4735066"
