id;bnnp_bnnk;created_at;level;parent
16;BNNP Jawa Tengah;2020-09-09 11:01:30.786195+07;"0";
18;BNNP Jawa Timur;2020-09-09 11:03:16.458787+07;"0";
19;BNNP Kalimantan Barat;2020-09-09 11:03:25.959168+07;"0";
20;BNNP Kalimantan Tengah;2020-09-09 11:03:35.67529+07;"0";
21;BNNP Kalimantan Timur;2020-09-09 11:03:46.018399+07;"0";
22;BNNP Kalimantan Selatan;2020-09-09 11:03:54.612427+07;"0";
23;BNNP Kalimantan Utara;2020-09-09 11:05:18.565443+07;"0";
24;BNNP Sulawesi Utara;2020-09-09 11:05:26.307453+07;"0";
25;BNNP Gorontalo;2020-09-09 11:05:33.803159+07;"0";
26;BNNP Sulawesi Tengah;2020-09-09 11:05:42.229823+07;"0";
27;BNNP Sulawesi Barat;2020-09-09 11:05:50.790125+07;"0";
28;BNNP Sulawesi Selatan;2020-09-09 11:05:59.229181+07;"0";
29;BNNP Sulawesi Tenggara;2020-09-09 11:06:06.755717+07;"0";
137;BNN Kota Batu ;2020-09-09 11:22:58.027859+07;1;
213;BNN Pusat;2020-11-02 10:07:50.056811+07;1;
30;BNNP Bali;2020-09-09 11:06:14.423552+07;"0";
31;BNNP Nusa Tenggara Barat;2020-09-09 11:06:21.802485+07;"0";
32;BNNP Nusa Tenggara Timur;2020-09-09 11:06:29.744404+07;"0";
33;BNNP Maluku Utara;2020-09-09 11:06:39.695449+07;"0";
34;BNNP Maluku ;2020-09-09 11:08:40.637187+07;"0";
35;BNNP Papua;2020-09-09 11:08:48.317162+07;"0";
36;BNNP Papua Barat;2020-09-09 11:08:57.292491+07;"0";
12;BNNP  Kepulauan Bangka Belitung;2020-09-09 11:00:52.431966+07;"0";
3;BNNP Nanggroe Aceh Darussalam;2020-07-10 16:20:36.959905+07;"0";
109;BNN Kota Bandung ;2020-09-09 11:19:39.291611+07;1;
110;BNN Kota Cimahi ;2020-09-09 11:19:46.484847+07;1;
111;BNN Kota Cirebon ;2020-09-09 11:19:52.972001+07;1;
114;BNN Kota Tasikmalaya;2020-09-09 11:20:12.804789+07;1;
122;BNN Kota Tegal ;2020-09-09 11:21:06.864342+07;1;
126;BNN Kota Yogyakarta ;2020-09-09 11:21:34.466093+07;1;
113;BNN Kabupaten Bandung Barat ;2020-09-09 11:20:06.280877+07;1;
94;BNN Kabupaten Bangka ;2020-09-09 11:17:50.596063+07;1;
127;BNN Kabupaten Bantul;2020-09-09 11:21:41.068545+07;1;
121;BNN Kabupaten Banyumas ;2020-09-09 11:21:00.216903+07;1;
116;BNN Kabupaten Batang ;2020-09-09 11:20:26.765711+07;1;
70;BNN Kabupaten Batanghari;2020-09-09 11:14:41.472129+07;1;
58;BNN Kabupaten Batu Bara;2020-09-09 11:13:04.802071+07;1;
73;BNN Kabupaten Bengkulu Selatan;2020-09-09 11:15:06.800327+07;1;
38;BNN Kabupaten Bireuen;2020-09-09 11:10:24.579607+07;1;
128;BNN Kabupaten Blitar ;2020-09-09 11:21:47.788314+07;1;
102;BNN Kabupaten Bogor ;2020-09-09 11:18:52.582232+07;1;
104;BNN Kabupaten Ciamis ;2020-09-09 11:19:05.963217+07;1;
117;BNN Kabupaten Cilacap ;2020-09-09 11:20:33.090835+07;1;
48;BNN Kabupaten Deli Serdang;2020-09-09 11:11:44.349128+07;1;
105;BNN Kabupaten Garut ;2020-09-09 11:19:13.353828+07;1;
42;BNN Kabupaten Gayo Lues;2020-09-09 11:10:55.490993+07;1;
129;BNN Kabupaten Gresik ;2020-09-09 11:21:54.500656+07;1;
90;BNN Kabupaten Karimun ;2020-09-09 11:17:22.970681+07;1;
54;BNN Kabupaten Karo;2020-09-09 11:12:31.592141+07;1;
130;BNN Kabupaten Kediri ;2020-09-09 11:22:00.773288+07;1;
118;BNN Kabupaten Kendal ;2020-09-09 11:20:39.281297+07;1;
67;BNN Kabupaten Kuantan Singingi ;2020-09-09 11:14:18.33216+07;1;
107;BNN Kabupaten Kuningan ;2020-09-09 11:19:25.799218+07;1;
84;BNN Kabupaten Lampung Selatan ;2020-09-09 11:16:33.758114+07;1;
59;BNN Kabupaten Labuhan Batu Utara;2020-09-09 11:13:16.61128+07;1;
86;BNN Kabupaten Lampung Timur;2020-09-09 11:16:49.665598+07;1;
49;BNN Kabupaten Langkat;2020-09-09 11:11:52.298372+07;1;
131;BNN Kabupaten Lumajang ;2020-09-09 11:22:06.807372+07;1;
132;BNN Kabupaten Malang ;2020-09-09 11:22:13.219231+07;1;
50;BNN Kabupaten Mandailing Natal;2020-09-09 11:12:00.362646+07;1;
81;BNN Kabupaten Muara Enim;2020-09-09 11:16:12.198051+07;1;
82;BNN Kabupaten Musi Rawas;2020-09-09 11:16:18.920525+07;1;
79;BNN Kabupaten Ogan Ilir;2020-09-09 11:15:55.254979+07;1;
65;BNN Kabupaten Pasaman Barat;2020-09-09 11:14:03.372667+07;1;
68;BNN Kabupaten Pelalawan ;2020-09-09 11:14:25.973882+07;1;
46;BNN Kabupaten Pidie;2020-09-09 11:11:29.742107+07;1;
37;BNN Kabupaten Pidie Jaya;2020-09-09 11:10:17.438668+07;1;
119;BNN Kabupaten Purbalingga ;2020-09-09 11:20:46.998199+07;1;
51;BNN Kabupaten Serdang Bedagai;2020-09-09 11:12:07.597292+07;1;
61;BNN Kabupaten Simalungun;2020-09-09 11:13:32.150231+07;1;
64;BNN Kabupaten Solok;2020-09-09 11:13:55.207662+07;1;
112;BNN Kabupaten Sukabumi;2020-09-09 11:19:59.679672+07;1;
115;BNN Kabupaten Sumedang;2020-09-09 11:20:19.805135+07;1;
85;BNN Kabupaten Tanggamus ;2020-09-09 11:16:40.397594+07;1;
72;BNN Kabupaten Tanjung Jabung Timur;2020-09-09 11:14:59.212034+07;1;
52;BNN Kabupaten Tapanuli Selatan;2020-09-09 11:12:14.627241+07;1;
87;BNN Kabupaten Way Kanan;2020-09-09 11:17:01.257483+07;1;
93;BNN Kota Pangkal Pinang ;2020-09-09 11:17:43.349779+07;1;
100;BNN Kota Jakarta Timur ;2020-09-09 11:18:38.801066+07;1;
78;BNN Kabupaten Empat Lawang;2020-09-09 11:15:45.570906+07;1;
139;BNN Kota Malang ;2020-09-09 11:23:19.286271+07;1;
140;BNN Kota Surabaya ;2020-09-09 11:23:25.118289+07;1;
141;BNN Kota Mojokerto ;2020-09-09 11:24:07.920075+07;1;
147;BNN Kota Pontianak ;2020-09-09 11:24:46.957758+07;1;
148;BNN Kota Singkawang ;2020-09-09 11:24:53.125399+07;1;
152;BNN Kota Palangkaraya ;2020-09-09 11:25:23.663588+07;1;
154;BNN Kota Balikpapan ;2020-09-09 11:25:39.739964+07;1;
155;BNN Kota Samarinda ;2020-09-09 11:25:46.718437+07;1;
156;BNN Kota Bontang;2020-09-09 11:25:52.714736+07;1;
158;BNN Kota Banjar Baru ;2020-09-09 11:26:07.801385+07;1;
159;BNN Kota Banjarmasin ;2020-09-09 11:26:14.116818+07;1;
165;BNN Kota Tarakan ;2020-09-09 11:26:56.447222+07;1;
166;BNN Kota Nunukan;2020-09-09 11:27:05.501812+07;1;
167;BNN Kota Manado ;2020-09-09 11:27:11.887826+07;1;
168;BNN Kota Bitung ;2020-09-09 11:27:18.638547+07;1;
171;BNN Kota Gorontalo ;2020-09-09 11:27:48.450901+07;1;
179;BNN Kota Palu ;2020-09-09 11:29:14.378146+07;1;
183;BNN Kota Palopo ;2020-09-09 11:29:43.932907+07;1;
186;BNN Kota Kendari ;2020-09-09 11:30:36.483965+07;1;
191;BNN Kota Denpasar ;2020-09-09 11:31:07.744876+07;1;
196;BNN Kota Mataram ;2020-09-09 11:31:42.597949+07;1;
200;BNN Kota Kupang ;2020-09-09 11:32:10.096022+07;1;
203;BNN Kota Tidore Kepulauan ;2020-09-09 11:32:33.47499+07;1;
206;BNN Kota Tual ;2020-09-09 11:32:55.190526+07;1;
47;BNN Kabupaten Asahan;2020-09-09 11:11:36.827996+07;1;
190;BNN Kabupaten Badung ;2020-09-09 11:31:01.123233+07;1;
157;BNN Kabupaten Balangan ;2020-09-09 11:26:01.481043+07;1;
181;BNN Kabupaten Banggai Kepulauan ;2020-09-09 11:29:27.845235+07;1;
95;BNN Kabupaten Bangka Selatan;2020-09-09 11:17:57.615772+07;1;
160;BNN Kabupaten Barito Kuala ;2020-09-09 11:26:21.635915+07;1;
92;BNN Kabupaten Belitung;2020-09-09 11:17:36.724156+07;1;
198;BNN Kabupaten Bima ;2020-09-09 11:31:55.395753+07;1;
173;BNN Kabupaten Boalemo ;2020-09-09 11:28:01.544544+07;1;
169;BNN Kabupaten Bolaang Mongondow ;2020-09-09 11:27:26.491073+07;1;
185;BNN Kabupaten Bone ;2020-09-09 11:30:26.148967+07;1;
172;BNN Kabupaten Bone Bolango ;2020-09-09 11:27:54.765332+07;1;
193;BNN Kabupaten Buleleng;2020-09-09 11:31:21.468755+07;1;
207;BNN Kabupaten Buru Selatan ;2020-09-09 11:33:02.3899+07;1;
103;BNN Kabupaten Cianjur ;2020-09-09 11:18:59.06642+07;1;
176;BNN Kabupaten Donggala ;2020-09-09 11:28:50.126585+07;1;
192;BNN Kabupaten Gianyar ;2020-09-09 11:31:14.767077+07;1;
44;BNN Kabupaten Aceh Tamiang;2020-09-09 11:11:12.595113+07;1;3
174;BNN Kabupaten Gorontalo Utara;2020-09-09 11:28:08.956002+07;1;
161;BNN Kabupaten Hulu Sungai Selatan;2020-09-09 11:26:28.424693+07;1;
162;BNN Kabupaten Hulu Sungai Utara;2020-09-09 11:26:35.060277+07;1;
208;BNN Kabupaten Jayapura ;2020-09-09 11:33:09.484097+07;1;
194;BNN Kabupaten Karangasem;2020-09-09 11:31:27.873944+07;1;
106;BNN Kabupaten Karawang ;2020-09-09 11:19:19.462596+07;1;
170;BNN Kabupaten Kepulauan Sangihe;2020-09-09 11:27:35.453039+07;1;
195;BNN Kabupaten Klungkung;2020-09-09 11:31:35.179106+07;1;
187;BNN Kabupaten Kolaka ;2020-09-09 11:30:42.764585+07;1;
83;BNN Kabupaten Ogan Komering Ulu Timur;2020-09-09 11:16:27.032932+07;1;
153;BNN Kabupaten Kotawaringin Barat ;2020-09-09 11:25:31.483076+07;1;
123;BNN Kabupaten Magelang;2020-09-09 11:21:13.609079+07;1;
145;BNN Kabupaten Mempawah ;2020-09-09 11:24:34.08315+07;1;
209;BNN Kabupaten Mimika ;2020-09-09 11:33:16.271664+07;1;
177;BNN Kabupaten Morowali ;2020-09-09 11:29:00.958923+07;1;
188;BNN Kabupaten Muna ;2020-09-09 11:30:48.974175+07;1;
133;BNN Kabupaten Nganjuk ;2020-09-09 11:22:20.738172+07;1;
80;BNN Kabupaten Ogan Komering Ilir;2020-09-09 11:16:04.916877+07;1;
143;BNN Kabupaten Pasuruan;2020-09-09 11:24:20.874286+07;1;
182;BNN Kabupaten Polewali Mandar;2020-09-09 11:29:34.327057+07;1;
178;BNN Kabupaten Poso ;2020-09-09 11:29:07.572998+07;1;
205;BNN Kabupaten Pulau Morotai ;2020-09-09 11:32:47.436929+07;1;
201;BNN Kabupaten Rote Ndao ;2020-09-09 11:32:17.551737+07;1;
146;BNN Kabupaten Sanggau ;2020-09-09 11:24:40.785725+07;1;
134;BNN Kabupaten Sidoarjo ;2020-09-09 11:22:27.00609+07;1;
150;BNN Kabupaten Sintang ;2020-09-09 11:25:08.27791+07;1;
125;BNN Kabupaten Sleman ;2020-09-09 11:21:28.379889+07;1;
199;BNN Kabupaten Sumbawa  ;2020-09-09 11:32:02.153623+07;1;
197;BNN Kabupaten Sumbawa Barat ;2020-09-09 11:31:49.123314+07;1;
142;BNN Kabupaten Sumenep ;2020-09-09 11:24:14.878117+07;1;
164;BNN Kabupaten Tabalong;2020-09-09 11:26:49.412514+07;1;
184;BNN Kabupaten Tana Toraja ;2020-09-09 11:30:19.499745+07;1;
163;BNN Kabupaten Tanah Laut;2020-09-09 11:26:42.377124+07;1;
180;BNN Kabupaten Tojo Una Una ;2020-09-09 11:29:20.689809+07;1;
135;BNN Kabupaten Trenggalek ;2020-09-09 11:22:33.122694+07;1;
144;BNN Kabupaten Tuban;2020-09-09 11:24:27.193648+07;1;
136;BNN Kabupaten Tulungagung ;2020-09-09 11:22:50.404364+07;1;
202;BNN Kabupaten Belu ;2020-09-09 11:32:25.117172+07;1;
151;BNN Kabupaten Kubu Raya ;2020-09-09 11:25:16.569215+07;1;
189;BNN Kota Bau-bau;2020-09-09 11:30:55.182051+07;1;
210;BNN Kabupaten Gorontalo;2020-09-17 16:01:34.784738+07;1;
204;BNN Kabupaten Halmahera Utara ;2020-09-09 11:32:40.414599+07;1;
120;BNN Kabupaten Temanggung ;2020-09-09 11:20:53.258532+07;1;
149;BNN Kabupaten Bengkayang ;2020-09-09 11:25:01.426827+07;1;
